,Date,Weighted_Sentiment_Score,Like Count,Retweet Count,Follower Count,Daily_Avg_Sentiment_Score,Polarity,Tweet Volume
0,2010-01-01,197.1688,0,0,2554,0.0772,positive,1
1,2010-01-02,0.0,0,0,503,0.0,neutral,1
2,2010-01-03,0.0,0,0,176,0.0,neutral,2
3,2010-01-04,63240.839199999995,0,0,73802,0.8568987181919189,positive,3
4,2010-01-05,-101.403,0,0,910,-0.11143186813186814,negative,2
5,2010-01-06,1208.331,0,0,4245,0.28464805653710246,positive,6
6,2010-01-07,2580.2614,0,0,8460,0.3049954373522458,positive,12
7,2010-01-08,158.5181,0,0,2533,0.06258116857481248,positive,6
8,2010-01-09,15890.252700000001,0,0,119226,0.13327841829802226,positive,22
9,2010-01-10,2475.3712,0,4,38735,0.06389868607862877,positive,39
10,2010-01-11,-13899.696000000002,0,1,158650,-0.08761177679308672,negative,47
11,2010-01-12,58093.6041,3,3,235519,0.24665578643456107,positive,69
12,2010-01-14,0.0,0,0,489,0.0,neutral,1
13,2010-01-15,0.0,0,0,9942,0.0,neutral,4
14,2010-01-16,0.0,0,0,22653,0.0,neutral,5
15,2010-01-17,0.0,0,0,8437,0.0,neutral,4
16,2010-01-18,0.0,0,0,6005,0.0,neutral,3
17,2010-01-19,1970.3496,0,0,4474,0.4404,positive,2
18,2010-01-21,-550.9768,0,0,2544,-0.21657893081761007,negative,4
19,2010-01-22,3936.0424,0,0,8008,0.49151378621378616,positive,3
20,2010-01-25,1546.3498999999997,0,0,3273,0.47245643140849364,positive,3
21,2010-01-26,0.0,0,0,1435,0.0,neutral,1
22,2010-01-27,-2.1672,0,0,544,-0.0039838235294117645,neutral,3
23,2010-01-28,0.0,0,0,554,0.0,neutral,2
24,2010-01-29,819.8691000000001,0,0,1639,0.5002251982916414,positive,3
25,2010-01-31,0.0,0,0,3299,0.0,neutral,2
26,2010-02-01,1368.0258,0,0,1882,0.7269,positive,1
27,2010-02-02,-977.6796,0,0,3160,-0.3093922784810127,negative,5
28,2010-02-03,7640.1266,0,1,16840,0.45366228846268036,positive,8
29,2010-02-04,5445.6478,0,0,10719,0.5080369250862954,positive,9
30,2010-02-05,1284.6468,0,0,2917,0.4404,positive,1
31,2010-02-06,24027.187099999996,0,4,50117,0.47938363360667174,positive,3
32,2010-02-07,536391.5463,1,68,1259821,0.42574474462056217,positive,274
33,2010-02-08,257.3544,0,0,23562,0.010922434428316781,neutral,10
34,2010-02-09,26459.7949,1,4,90403,0.2926709461552075,positive,26
35,2010-02-10,502.3117000000001,0,0,23942,0.02098035669534709,neutral,12
36,2010-02-11,2582.8212999999996,0,11,111642,0.023132574135939023,neutral,50
37,2010-02-12,550.1463999999995,1,4,130088,0.004228870115993939,neutral,75
38,2010-02-13,2453.3686,0,0,6098,0.4023234831092161,positive,4
39,2010-02-14,0.0,0,0,7036,0.0,neutral,4
40,2010-02-15,273.3592,0,0,3342,0.08179509275882704,positive,10
