,Date,Tweet Volume,Polarity,Retweet,Sentiment Score,Year
0,2010-01-01,1,positive,No,0.0772,2010
1,2010-01-02,1,negative,No,0.0,2010
2,2010-01-03,2,negative,No,0.0,2010
3,2010-01-04,3,positive,No,0.8568987181919189,2010
4,2010-01-05,2,negative,No,-0.11143186813186814,2010
5,2010-01-06,6,positive,No,0.28464805653710246,2010
6,2010-01-07,12,positive,No,0.3049954373522458,2010
7,2010-01-08,6,positive,No,0.06258116857481248,2010
8,2010-01-09,22,positive,No,0.13327841829802226,2010
9,2010-01-10,39,positive,Yes,0.06389868607862877,2010
10,2010-01-11,47,negative,Yes,-0.08761177679308672,2010
11,2010-01-12,69,positive,Yes,0.24665578643456107,2010
12,2010-01-14,1,negative,No,0.0,2010
13,2010-01-15,4,negative,No,0.0,2010
14,2010-01-16,5,negative,No,0.0,2010
15,2010-01-17,4,negative,No,0.0,2010
16,2010-01-18,3,negative,No,0.0,2010
17,2010-01-19,2,positive,No,0.4404,2010
18,2010-01-21,4,negative,No,-0.21657893081761007,2010
19,2010-01-22,3,positive,No,0.49151378621378616,2010
20,2010-01-25,3,positive,No,0.47245643140849364,2010
21,2010-01-26,1,negative,No,0.0,2010
22,2010-01-27,3,negative,No,-0.0039838235294117645,2010
23,2010-01-28,2,negative,No,0.0,2010
24,2010-01-29,3,positive,No,0.5002251982916414,2010
25,2010-01-31,2,negative,No,0.0,2010
26,2010-02-01,1,positive,No,0.7269,2010
27,2010-02-02,5,negative,No,-0.3093922784810127,2010
28,2010-02-03,8,positive,Yes,0.45366228846268036,2010
29,2010-02-04,9,positive,No,0.5080369250862954,2010
30,2010-02-05,1,positive,No,0.4404,2010
31,2010-02-06,3,positive,Yes,0.47938363360667174,2010
32,2010-02-07,274,positive,Yes,0.42574474462056217,2010
33,2010-02-08,10,positive,No,0.010922434428316781,2010
34,2010-02-09,26,positive,Yes,0.2926709461552075,2010
35,2010-02-10,12,positive,No,0.02098035669534709,2010
36,2010-02-11,50,positive,Yes,0.023132574135939023,2010
37,2010-02-12,75,positive,Yes,0.004228870115993939,2010
38,2010-02-13,4,positive,No,0.4023234831092161,2010
39,2010-02-14,4,negative,No,0.0,2010
40,2010-02-15,10,positive,No,0.08179509275882704,2010
41,2010-02-16,14,positive,No,0.030235942902739607,2010
42,2010-02-17,5,positive,No,0.22974821466752193,2010
43,2010-02-18,4,positive,No,0.49800717602363864,2010
44,2010-02-19,4,positive,No,0.11526102464332036,2010
45,2010-02-20,1,negative,No,0.0,2010
46,2010-02-21,1,negative,No,0.0,2010
47,2010-02-22,4,positive,No,0.02293120393120393,2010
48,2010-02-23,6,negative,No,0.0,2010
49,2010-02-24,4,positive,No,0.2576507525083612,2010
50,2010-02-26,4,positive,No,0.2539633575719254,2010
51,2010-02-28,2,negative,No,-0.128,2010
52,2010-03-01,2,positive,No,0.7003,2010
53,2010-03-02,3,negative,No,0.0,2010
54,2010-03-03,3,positive,No,0.21451048005409062,2010
55,2010-03-04,1,negative,No,0.0,2010
56,2010-03-05,7,positive,Yes,0.27481282346376507,2010
57,2010-03-06,3,positive,No,0.4982265756447387,2010
58,2010-03-07,328,positive,Yes,0.44356171316146326,2010
59,2010-03-08,20,positive,No,0.029247402932081088,2010
60,2010-03-09,25,positive,Yes,0.012547663751944651,2010
61,2010-03-10,30,positive,Yes,0.5196164123316901,2010
62,2010-03-11,52,positive,Yes,0.20959316782493193,2010
63,2010-03-12,96,positive,Yes,0.17741071223983196,2010
64,2010-03-13,3,positive,No,0.13122887573964498,2010
65,2010-03-14,2,positive,Yes,0.0008386600156375957,2010
66,2010-03-15,4,positive,No,0.3887902992186011,2010
67,2010-03-16,4,negative,No,-0.036574843182568505,2010
68,2010-03-17,7,positive,No,0.43811069370330846,2010
69,2010-03-18,3,negative,No,-0.06410322580645163,2010
